### DATA:
#
# 362
#      Q             I(Q)           Error     
#                                        "RNAPR30_MPsucrose_51_data_000073_00073.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000074_00074.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000075_00075.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000076_00076.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000077_00077.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000078_00078.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000079_00079.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000080_00080.h5"
#                                    ],
